Source IP	Destination IP	Protocol	Time	Length	Info
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:08	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:08	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:08	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:08	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:09	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:09	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:10	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:10	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:11	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	Raw	2023-07-15 15:53:15	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:58	256	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:58	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:58	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	1138	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:52:59	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	1454	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	1454	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	1454	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	1454	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:00	278	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:01	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:01	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:01	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:04	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:05	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:05	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:05	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:05	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:05	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:06	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:07	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:07	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:07	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:07	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:08	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:09	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:09	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:10	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:10	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:10	66	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 A
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:11	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
5.161.84.59	192.168.200.187	TCP	2023-07-15 15:53:15	602	Ether / IP / TCP 5.161.84.59:http > 192.168.200.187:44770 PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:58	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:58	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:58	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	1116	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:00	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:01	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:01	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:01	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:04	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:04	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:04	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:05	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:05	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:05	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:05	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:06	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:07	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:07	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:07	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:07	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:08	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:08	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:08	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:08	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:08	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:09	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:10	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:10	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:10	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:10	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:11	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	Raw	2023-07-15 15:53:15	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:58	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:58	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:58	66	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http A
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
192.168.200.187	5.161.84.59	TCP	2023-07-15 15:52:59	602	Ether / IP / TCP 192.168.200.187:44770 > 5.161.84.59:http PA / Raw
